Client,Round,R² Score
Client 7,2012_1,0.9743259037185273
Client 7,2012_2,0.9479602348292332
Client 7,2012_3,0.9713187699317202
Client 7,2012_4,0.9402060283649383
Client 7,2012_5,0.9397746900237698
Client 7,2012_6,0.9472296290440811
Client 7,2012_7,0.9643532175127814
Client 7,2012_8,0.9685113289402075
Client 7,2012_9,0.9602668529077488
Client 7,2012_10,0.9636661285312176
Client 8,2010_2,0.8952816632520572
Client 8,2010_3,0.888135241483633
Client 8,2010_4,0.9179322669362685
Client 8,2010_5,0.8950316981825149
Client 8,2010_6,0.9486395268873633
Client 8,2010_7,0.9339969398887555
Client 8,2010_8,0.9392813379775349
Client 8,2010_9,0.9338944068108138
Client 8,2010_10,0.9181737829143316
Client 8,2010_11,0.9082618103267701
Client 8,2010_12,0.864058923237275
Client 8,2011_1,0.9286881465508032
Client 8,2011_2,0.933449901800598
Client 8,2011_3,0.9198548264443334
Client 8,2011_4,0.8816504731574057
Client 8,2011_5,0.948645161492628
Client 8,2011_6,0.9563581185230913
Client 8,2011_7,0.9576098537738836
Client 8,2011_8,0.9696025410796502
Client 8,2011_9,0.9555289829972381
Client 8,2011_10,0.9389255542021469
Client 8,2011_11,0.9207977214941876
Client 8,2011_12,0.8842530445025172
Client 8,2012_1,0.9589578275287294
Client 8,2012_2,0.9366314698651174
Client 8,2012_3,0.9406569146255507
Client 8,2012_4,0.9458823952916708
Client 8,2012_5,0.9386195855316661
Client 8,2012_6,0.9515212256049157
Client 8,2012_7,0.9653580981781091
Client 8,2012_8,0.9642528203030329
Client 8,2012_9,0.9523261627017258
Client 8,2012_10,0.9587415354061679
Client 9,2010_2,0.9398448022811086
Client 9,2010_3,0.9472238286736978
Client 9,2010_4,0.9027852642232775
Client 9,2010_5,0.8977497492492159
Client 9,2010_6,0.8729971291630245
Client 9,2010_7,0.9371012018847075
Client 9,2010_8,0.9395611240024264
Client 9,2010_9,0.9296771133893302
Client 9,2010_10,0.9563912925229249
Client 9,2010_11,0.8158155707398297
Client 9,2010_12,0.8441850123775866
Client 9,2011_1,0.9307569410378563
Client 9,2011_2,0.9412934806131761
Client 9,2011_3,0.9421750947335898
Client 9,2011_4,0.910023856969302
Client 9,2011_5,0.9024631296087909
Client 9,2011_6,0.9167443720023389
Client 9,2011_7,0.9302986859033758
Client 9,2011_8,0.9186233082964405
