Client,Round,R² Score
Client 9,2010_8,0.9391580407546349
Client 9,2010_9,0.9284665452088451
Client 9,2010_10,0.9542657787623918
Client 9,2010_11,0.8168570344355516
Client 9,2010_12,0.8476693987412687
Client 9,2011_1,0.930658698402958
Client 9,2011_2,0.9411306560997813
Client 9,2011_3,0.9408944328774165
Client 9,2011_4,0.9089927502481864
Client 9,2011_5,0.9007727595381703
Client 9,2011_6,0.9175495444558832
Client 9,2011_7,0.9273596780648721
Client 9,2011_8,0.9186123272871035
Client 9,2011_9,0.9252311415245652
Client 9,2011_10,0.9425888756243663
Client 9,2011_11,0.8378778495992225
Client 9,2011_12,0.851520648971291
Client 9,2012_1,0.94938338212101
Client 9,2012_2,0.9434865469691847
Client 9,2012_3,0.9443974172043295
Client 9,2012_4,0.9149555670607348
Client 9,2012_5,0.9186646200144659
Client 9,2012_6,0.9181216188126305
Client 9,2012_7,0.9567414375822361
Client 9,2012_8,0.9631329410341913
Client 9,2012_9,0.9288071108397485
Client 9,2012_10,0.9507635346765725
